"TITLE","DEPARTMENT","CATEGORY","BASE_PRICE","ORDER_NUMBER"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000094855909"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000059898449"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000049058056"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000069593631"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000067781884"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000090895024"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000097145170"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000043742354"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000022990295"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000025604445"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000016008317"
"Sprite (2L)","Grocery","Carbonated Soft Drin",1.97,"531000013477927"
"Frozen Grade A Turkey, Whole (11 kg - up)","Meat","Fresh-Poultry",5,"531000030955373"
"Frozen Grade A Turkey, Whole (11 kg - up)","Meat","Fresh-Poultry",5,"531000030955358"
"Frozen Grade A Turkey, Whole (11 kg - up)","Meat","Fresh-Poultry",5,"531000030955144"
"Frozen Grade A Turkey, Whole (11 kg - up)","Meat","Fresh-Poultry",5,"531000030955132"
"Frozen Grade A Turkey, Whole (11 kg - up)","Meat","Fresh-Poultry",5,"531000030621075"
"Frozen Grade A Turkey, Whole (11 kg - up)","Meat","Fresh-Poultry",5,"531000085810876"
"Herbal Essences Naked Shampoo, Moisture (300mL)","Beauty Products","Haircare",3.99,"531000098613585"
"Herbal Essences Naked Shampoo, Moisture (300mL)","Beauty Products","Haircare",3.99,"531000070401903"
"No Name Ice Milk, Chocolate (4L)","Frozen","Ice Cream",5.49,"531000030653010"
"No Name Ice Milk, Chocolate (4L)","Frozen","Ice Cream",5.49,"531000018311383"
"7Up Mini Cans (6x222mL)","Grocery","Carbonated Soft Drin",2.97,"531000066731247"
"7Up Mini Cans (6x222mL)","Grocery","Carbonated Soft Drin",2.97,"531000072648880"
"7Up Mini Cans (6x222mL)","Grocery","Carbonated Soft Drin",2.97,"531000017594690"
"7Up Mini Cans (6x222mL)","Grocery","Carbonated Soft Drin",2.97,"531000015157287"
"Touch Paper Wrapped Toothpicks, Mint (250pack)","Home","Disposable Picnic",0,"531000095625973"
"Touch Paper Wrapped Toothpicks, Mint (250pack)","Home","Disposable Picnic",0,"531000095628215"
"Touch Paper Wrapped Toothpicks, Mint (250pack)","Home","Disposable Picnic",0,"531000078537619"
"Touch Paper Wrapped Toothpicks, Mint (250pack)","Home","Disposable Picnic",0,"531000071152480"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000099932906"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000098061500"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000097330399"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000093622293"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000095844245"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000095531113"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000093719444"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000089055420"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000093927226"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000093920321"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000091531715"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000091008595"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000093411304"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000093551319"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000089468804"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000088561328"
"Classico Pesto Di Genova, Basil (218mL)","Grocery","Sauces/Marinades",4.27,"531000085874490"
